StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q4	Q5	Q5_9_TEXT	Q6	Q7	HUMS1	HUMS2	HUMS3	HUMS4	HUMS5	HUMS6	HUMS7	HUMS8	HUMS9	HUMS10	HUMS11	HUMS12	HUMS13	MAS1	MAS2	MAS3	MAS4	MAS5	MAS6	MAS7	MAS8	MAS9	MAS10	MAS11	MAS12	MAS13	MAS14	MAS15	MAS16	MAS17	MAS18	MAS19	MAS20	MAS21	MAS22	MAS23	MAS24	MAS25	MAS26	MAS27	MAS28	GOLD1-AE	GOLD2-AE	GOLD3-AE	GOLD4-AE	GOLD5-AE	GOLD6-AE	GOLD7-AE	GOLD8-AE	GOLD9-AE	GOLD1-MT	GOLD2-MT	GOLD3-MT	GOLD4-MT	GOLD5-MT	GOLD6-MT	GOLD7-MT
		IP Address		93	289	True		SYN_0152							anonymous	EN	I consent to participate in this study	46	Male	Master's degree	Other		Advanced	Country B	Sometimes	Always	Often	Sometimes	Almost never	Almost never	Always	Almost never	Never	Almost never	Almost never	Never	Never	Completely disagree		Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Disagree	Completely disagree	Completely agree	Strongly disagree	Neither agree nor disagree	Disagree	Completely disagree	Disagree	Strongly agree	Strongly agree	Strongly agree	Completely disagree	Disagree	Disagree	Agree	Disagree	Agree	Strongly disagree	3	Neither agree nor disagree	Strongly agree	2 hrs	Completely disagree	Disagree	3	0.5	prefer not to say	0.5	1	5	Disagree
		IP Address		97	1756	True		SYN_0153							anonymous	EN	I consent to participate in this study	41	Female	Bachelor's degree	English		Native	Country A	Almost never	Often	Often	Never	Often	Almost never	Never	Often	Sometimes	Often	Often	Sometimes	Almost never	Disagree	Neither agree nor disagree	Strongly agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Strongly agree	Completely disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree		Completely disagree	Completely disagree	Completely agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Disagree	0	Completely disagree	Completely disagree	30-60 min	Strongly agree	Completely agree	2	3-4	Strongly agree	1	2	5	Completely agree
		IP Address		94	1150	True		SYN_0154							anonymous	EN	I consent to participate in this study	50	Female	Bachelor's degree	English		Elementary	Country C	Sometimes	Always	Sometimes	Sometimes	Often	Almost never	Almost never	Always	Always	Almost never	Often	Often	Often	Strongly disagree	Completely disagree	Disagree	Neither agree nor disagree	Completely disagree	Disagree	Disagree	Agree	Strongly agree	Agree	Strongly disagree	Disagree	Neither agree nor disagree	Agree	Completely agree	Agree	Neither agree nor disagree	Strongly disagree	Completely disagree	Strongly agree	Strongly disagree	Agree	Strongly agree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly agree	Strongly disagree	1	Neither agree nor disagree	Neither agree nor disagree	15-30 min	Strongly agree	Strongly agree	1	1.5	Completely disagree	0.5	1	3	Completely agree
		IP Address		95	1638	True		SYN_0155							anonymous	EN	I consent to participate in this study	59	Male	Master's degree	English		Advanced	Country C	Often	Often	Often	Almost never	Almost never	Always	Almost never	Always	Often	Often	Sometimes	Always	Never	Disagree	Disagree	Neither agree nor disagree	Disagree	Agree	Neither agree nor disagree	Disagree	Completely disagree	Disagree	Completely disagree	Disagree	Disagree	Agree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Agree	Strongly agree	Strongly disagree		Agree	Neither agree nor disagree	Completely disagree	Completely agree	Strongly agree	Neither agree nor disagree	Strongly disagree	Disagree	Completely agree	Completely disagree	1	Strongly disagree	Agree	60-90 min	Agree	Disagree	4-5	0	Strongly agree	7 or more	1	2	Strongly disagree
		IP Address		100	1044	True		SYN_0156							anonymous	EN	I consent to participate in this study	32	Female	Master's degree	English		Intermediate	Country B	Almost never	Sometimes	Sometimes	Often	Almost never	Always	Always	Almost never	Almost never	Always	Almost never	Almost never	Always	Completely agree	Strongly disagree	Disagree	Agree	Agree	Strongly agree	Strongly disagree	Disagree	Agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Strongly agree	Agree	Strongly disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Strongly agree	Completely disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Completely agree	Completely disagree	Completely disagree	Neither agree nor disagree	Completely agree	3	Neither agree nor disagree	Strongly agree	60-90 min	Completely agree	Completely agree	6-9	1.5	Strongly disagree	7 or more	6-9	5	Strongly agree
		IP Address		94	1041	True		SYN_0157							anonymous	EN	I consent to participate in this study	59	Prefer not to say	High school	English		Elementary	Country A	Almost never	Always	Sometimes	Sometimes	Never	Often	Always	Often	Sometimes	Always	Almost never	Always	Almost never	Completely agree	Agree	Strongly agree	Strongly agree	Completely agree	Agree	Strongly agree	Neither agree nor disagree	Completely agree	Completely agree	Agree	Completely agree	Strongly disagree	Disagree	Completely disagree	Agree	Strongly disagree	Completely agree	Completely agree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Strongly disagree	Completely agree	Neither agree nor disagree	prefer not to say	prefer not to say	2	Completely agree	Agree	60-90 min	Completely agree	Disagree	4-5	3-4	Completely disagree	3	10 or more	5	Neither agree nor disagree
		IP Address		93	1475	True		SYN_0158							anonymous	EN	I consent to participate in this study	63	Male	Doctorate	Other		Native	Country A	Sometimes	Almost never	Almost never	Always		Never	Sometimes	Often	Often	Sometimes	Almost never	Sometimes	Always	Agree	Strongly disagree	Completely agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Completely agree	Neither agree nor disagree	Completely disagree	Strongly agree	Strongly agree	Completely agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Completely disagree	Disagree	Strongly agree	Strongly agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	0	Completely agree	Completely agree	2-3 hrs	Strongly disagree	Agree	10 or more	5 or more	Completely agree	7 or more	1	2	Neither agree nor disagree
		IP Address		92	893	True		SYN_0159							anonymous	EN	I consent to participate in this study	26	Female	Master's degree	Other		Advanced	Country C	Often	Often	Always	Always	Sometimes	Often	Almost never	Always	Always	Always	Always	Always	Always	Agree	Completely agree	Agree	Agree	Neither agree nor disagree	Completely agree	Strongly agree	Agree	Completely agree	Disagree		Strongly agree		Completely agree	Completely agree	Agree	Neither agree nor disagree	Strongly disagree	Completely agree	Strongly agree	Agree	Strongly agree	Completely agree	Completely agree	Strongly agree	Completely agree	Completely agree	Completely agree	Completely disagree	Completely disagree	Completely disagree	3	Strongly agree	Strongly disagree	60-90 min	Agree	Neither agree nor disagree	1	1.5	Neither agree nor disagree	0.5	3-5	1	Completely agree
		IP Address		98	1531	True		SYN_0160							anonymous	EN	I consent to participate in this study	37	Male	Doctorate	English		Elementary	Country B	Never	Never	Always	Often	Never	Often	Almost never	Never	Never	Sometimes	Never	Never	Almost never	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Completely agree	Agree	Agree	Neither agree nor disagree	Strongly disagree	Disagree	Agree	Strongly disagree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Agree	Strongly disagree	Completely agree	0	Strongly disagree	Strongly agree	4 hrs or more	Disagree	Completely agree	1	3-4	Completely agree	3	0.5	2	prefer not to say
		IP Address		95	200	True		SYN_0161							anonymous	EN	I consent to participate in this study	27	Female	High school	Other		Elementary	Country A	Always	Always	Sometimes	Always	Always	Often	Sometimes	Often	Never	Sometimes	Almost never	Sometimes	Never	Strongly disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Disagree	Completely disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Disagree	Completely agree		Completely agree	Strongly disagree	Completely agree	Agree	Completely agree	Strongly agree	Completely agree	Completely agree	Agree	Completely disagree	Strongly agree	7-10	prefer not to say	Completely disagree	60-90 min	Agree	prefer not to say	0	0.5	Strongly agree	0	0.5	5	Strongly disagree
		IP Address		94	207	True		SYN_0162							anonymous	EN	I consent to participate in this study	35	Female	Doctorate	English		Native	Country B	Often	Often	Never	Sometimes	Almost never	Always	Often	Always	Never	Almost never	Sometimes	Almost never	Sometimes	Neither agree nor disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Disagree	Completely disagree	Completely agree	Agree	Strongly disagree	Completely disagree	Strongly agree	Disagree	Agree	0	Disagree	Strongly agree	15-30 min	Strongly disagree	Completely agree	1	0.5	Completely disagree	0.5	6-9	6 or more	Agree
		IP Address		91	559	True		SYN_0163							anonymous	EN	I consent to participate in this study	41	Female	Doctorate	Other		Elementary	Country A	Always	Often	Sometimes	Sometimes	Never	Always	Never	Always	Always	Always	Often	Never	Almost never	Neither agree nor disagree	Agree	Completely agree	Completely disagree	Completely agree	Completely agree	Strongly agree	Completely agree	Completely agree	Strongly agree	Strongly agree	Completely agree	Neither agree nor disagree	Strongly agree	Agree	Completely disagree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly disagree	Disagree	Completely agree	Strongly disagree	Neither agree nor disagree	Strongly disagree	Completely agree	Disagree	Strongly disagree	Neither agree nor disagree	11 or more	prefer not to say	Completely disagree	2 hrs	Completely agree	prefer not to say	2	5 or more	Disagree	4-6	0.5	5	prefer not to say
		IP Address		100	493	True		SYN_0164							anonymous	EN	I consent to participate in this study	64	Prefer not to say	Master's degree	Other		Native	Country B	Almost never	Sometimes	Sometimes	Often	Always	Almost never	Sometimes	Sometimes	Almost never	Never	Almost never	Almost never	Almost never	Completely disagree	Completely disagree	Strongly disagree	Completely disagree		Strongly disagree	Completely disagree	Disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Disagree	Strongly agree	Agree	Strongly disagree	Neither agree nor disagree	Completely agree	Completely disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	Strongly disagree	Completely agree	Strongly agree	Disagree	Disagree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	3	Completely disagree	Disagree	15-30 min	prefer not to say	prefer not to say	1	2	Agree	0	3-5	5	Agree
		IP Address		91	1297	True		SYN_0165							anonymous	EN	I consent to participate in this study	48	Prefer not to say	High school	Other		Native	Country C	Always	Always	Sometimes	Almost never	Often	Always	Often	Almost never	Almost never	Never	Sometimes	Often	Sometimes	Completely disagree	Disagree	Disagree	Completely disagree	Disagree	Strongly agree	Disagree	Disagree	Disagree	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Completely agree	Completely agree	Completely agree	Completely agree	Neither agree nor disagree	Agree	Completely agree	Strongly agree	Strongly agree	Strongly agree	Completely agree	Agree	Completely disagree	Agree	Completely agree	Strongly disagree	Disagree	Completely agree	2	prefer not to say	prefer not to say	0-15 min	Strongly agree	Agree	10 or more	2	Completely agree	7 or more	3-5	3	prefer not to say
		IP Address		95	655	True		SYN_0166							anonymous	EN	I consent to participate in this study	34	Female	Doctorate	English		Advanced	Country C	Almost never	Always	Always	Never	Sometimes	Often	Always	Almost never	Almost never	Sometimes	Often	Always	Sometimes	Neither agree nor disagree		Neither agree nor disagree	Strongly disagree	Strongly agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Disagree	Completely disagree	Strongly disagree	Agree	Agree	Strongly disagree	Disagree	Disagree	Completely agree	Strongly agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Agree	Neither agree nor disagree	Strongly agree	Disagree	Completely agree	Disagree	Disagree	Agree	4-6	Completely agree	Neither agree nor disagree	15-30 min	Strongly agree	Completely agree	1	0	Strongly disagree	7 or more	6-9	1	Strongly disagree
		IP Address		99	308	True		SYN_0167							anonymous	EN	I consent to participate in this study	50	Prefer not to say	High school	English		Elementary	Country A	Always	Sometimes	Always	Always	Always	Sometimes	Never	Often	Almost never	Almost never	Always	Always	Always	Completely agree	Disagree	Completely agree	Strongly agree	Strongly agree	Completely agree	Agree	Agree	Completely agree	Completely agree	Strongly agree	Strongly agree	Agree	Disagree	Completely disagree	Completely disagree	Completely agree	Neither agree nor disagree	Disagree	Strongly disagree	Completely agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Completely disagree	Neither agree nor disagree	Strongly agree	Disagree	Agree	Strongly disagree	Strongly agree	0	Neither agree nor disagree	Neither agree nor disagree	2 hrs	Neither agree nor disagree	Strongly agree	3	5 or more	Completely disagree	4-6	6-9	5	Strongly disagree
		IP Address		100	242	True		SYN_0168							anonymous	EN	I consent to participate in this study	55	Prefer not to say	Doctorate	Other		Advanced	Country C	Sometimes	Sometimes	Often	Always	Almost never	Never	Sometimes	Almost never	Sometimes	Almost never	Almost never	Never	Almost never	Strongly disagree	Strongly disagree	Completely disagree	Agree		Disagree	Agree	Completely disagree	Strongly disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Strongly agree	Strongly disagree	Completely disagree	prefer not to say	Strongly agree	Strongly agree	2	prefer not to say	Disagree	60-90 min	Neither agree nor disagree	Neither agree nor disagree	1	1.5	Completely disagree	4-6	10 or more	3	prefer not to say
		IP Address		95	559	True		SYN_0169							anonymous	EN	I consent to participate in this study	43	Male	High school	Other		Advanced	Country B	Often	Always	Almost never	Often	Often	Often	Often	Almost never	Sometimes		Always	Often	Sometimes	Strongly agree	Neither agree nor disagree	Agree	Completely agree	Completely agree	Strongly agree	Neither agree nor disagree	Strongly agree	Completely agree	Completely agree	Strongly agree	Agree	Neither agree nor disagree	Strongly agree	Agree	Neither agree nor disagree	Agree	Disagree	Agree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Agree	Completely agree	Neither agree nor disagree	Strongly agree		Completely disagree	Completely disagree	Strongly disagree	0	Neither agree nor disagree	Completely agree	15-30 min	prefer not to say	Strongly agree	2	0.5	Agree	7 or more	1	4	prefer not to say
		IP Address		97	1331	True		SYN_0170							anonymous	EN	I consent to participate in this study	44	Male	High school	English		Elementary	Country C	Never	Never	Sometimes	Never	Sometimes	Almost never	Almost never	Sometimes	Sometimes	Sometimes	Almost never	Sometimes	Never	Disagree	Strongly agree	Strongly disagree	Completely disagree	Disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Strongly agree	Completely disagree	Completely disagree	Disagree	Disagree	1	Strongly disagree	Agree	60-90 min	Agree	Completely agree	6-9	1.5	Strongly agree	4-6	10 or more	3	Completely agree
		IP Address		94	1199	True		SYN_0171							anonymous	EN	I consent to participate in this study	18	Male	Bachelor's degree	Other		Elementary	Country B	Never	Never	Sometimes	Never	Almost never	Never	Almost never	Never	Never	Never	Almost never	Never	Never	Disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree		Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree		Completely disagree	Strongly disagree	Completely disagree		Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Completely disagree	Strongly agree	Strongly disagree	prefer not to say	1	Strongly disagree	Strongly agree	prefer not to say	Completely disagree	Completely agree	10 or more	2	Disagree	2	10 or more	0	Strongly agree
		IP Address		100	244	True		SYN_0172							anonymous	EN	I consent to participate in this study	46	Prefer not to say	Master's degree	English		Advanced	Country A	Never	Almost never	Almost never	Often	Almost never	Almost never	Never	Sometimes	Often	Almost never	Often	Never	Sometimes	Disagree	Completely disagree	Disagree	Agree	Neither agree nor disagree	Strongly agree	Disagree	Completely disagree	Strongly agree	Completely agree	Strongly disagree	Completely disagree	Agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Disagree	Disagree	Strongly disagree	Disagree	Completely disagree	Strongly disagree	Agree	Strongly disagree	Disagree	Completely disagree	Disagree	Completely disagree	Strongly disagree	Completely agree	prefer not to say	1	Completely disagree	Completely agree	15-30 min	Agree	Strongly disagree	6-9	5 or more	Neither agree nor disagree	1	6-9	1	Agree
		IP Address		98	787	True		SYN_0173							anonymous	EN	I consent to participate in this study	23	Male	Master's degree	English		Native	Country B	Often	Often	Always	Always	Always	Always	Always	Always	Always	Almost never	Always	Almost never	Always	Strongly agree	Completely agree	Agree	Strongly agree	Strongly agree	Disagree	Neither agree nor disagree	Strongly disagree	Agree	Completely agree	Agree	Completely agree	Neither agree nor disagree	Agree	Completely agree	Completely agree	Neither agree nor disagree	Completely agree	Strongly agree	Agree	Completely agree	Strongly agree	Neither agree nor disagree	Completely agree	Strongly agree	Agree	Neither agree nor disagree	Completely agree	Agree	prefer not to say	Strongly agree	2	Strongly disagree	Disagree	30-60 min	Completely agree	Completely agree	0	0.5	prefer not to say	1	2	5	Completely agree
		IP Address		93	1445	True		SYN_0174							anonymous	EN	I consent to participate in this study	55	Female	Doctorate	English		Advanced	Country A	Almost never	Never	Almost never	Almost never	Always	Never	Almost never	Never	Sometimes	Always	Sometimes	Always	Almost never	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Agree	Agree	Completely disagree	Completely disagree	Neither agree nor disagree	Agree	Completely disagree	Strongly disagree	Completely agree	Strongly disagree	Disagree	Strongly disagree	Strongly agree	Completely disagree	Strongly disagree	Agree	Strongly agree	Disagree	Completely disagree	Completely agree	Completely agree	Neither agree nor disagree	2	Strongly disagree	Agree	0-15 min	Neither agree nor disagree	Strongly agree	10 or more	5 or more	Completely agree	4-6	0.5	3	Completely disagree
		IP Address		99	1437	True		SYN_0175							anonymous	EN	I consent to participate in this study	61	Female	High school	Other		Advanced	Country B	Sometimes	Often	Sometimes	Always	Almost never	Sometimes	Almost never	Always	Sometimes	Sometimes	Sometimes	Sometimes	Always	Completely agree	Completely agree	Completely agree	Completely agree	Strongly agree	Strongly agree	Disagree	Strongly agree	Completely agree	Agree	Strongly agree	Agree	Completely disagree	Completely agree	Completely agree	Completely agree	Strongly agree	Completely agree	Completely agree	Completely agree	Strongly agree	Strongly agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Strongly disagree	Strongly agree	prefer not to say	11 or more	Strongly agree	Disagree	2 hrs	Neither agree nor disagree	Neither agree nor disagree	4-5	1	Agree	0.5	0.5	4	Completely agree
		IP Address		91	1165	True		SYN_0176							anonymous	EN	I consent to participate in this study	35	Prefer not to say	Master's degree	Other		Elementary	Country C	Almost never	Never	Always	Often	Sometimes	Always	Always	Sometimes	Never	Never	Almost never	Always	Almost never	Completely agree	Completely agree	Agree	Strongly agree	Completely agree	Agree	Agree	Completely agree	Completely agree	Strongly disagree	Strongly agree	Completely agree	Disagree	Neither agree nor disagree	Agree	Completely disagree	Disagree	Agree	Neither agree nor disagree	Completely agree	Strongly agree	Disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Agree	Agree	Strongly agree	prefer not to say	3	Strongly disagree	Agree	2 hrs	Completely disagree	Completely agree	6-9	1	prefer not to say	4-6	1	3	Agree
		IP Address		92	1430	True		SYN_0177							anonymous	EN	I consent to participate in this study	50	Prefer not to say	Doctorate	English		Elementary	Country B	Often	Always	Always	Often	Almost never	Always		Almost never	Almost never	Often	Almost never	Almost never	Never	Completely disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely agree	Agree	Strongly disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Completely agree	Strongly disagree	Strongly agree	Agree	Neither agree nor disagree	Completely agree	Strongly agree	Agree	Agree	Neither agree nor disagree	Completely agree		Strongly disagree	Strongly agree	Strongly agree	Strongly disagree	Neither agree nor disagree	Completely disagree	7-10	prefer not to say	Completely disagree	2-3 hrs	Strongly disagree	Neither agree nor disagree	3	5 or more	Completely agree	7 or more	0.5	0	Neither agree nor disagree
		IP Address		95	943	True		SYN_0178							anonymous	EN	I consent to participate in this study	29	Male	Bachelor's degree	Other		Native	Country C	Sometimes	Sometimes	Never	Often	Often	Almost never	Almost never	Almost never	Always	Never	Often	Often	Never	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Disagree	Completely agree	Strongly agree	Neither agree nor disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Agree	Disagree	Strongly agree	Strongly disagree	Neither agree nor disagree	Disagree	Strongly disagree	Strongly disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Strongly agree	Strongly disagree	Disagree	Completely agree	Strongly disagree	prefer not to say	Completely agree	4-6	Completely agree	Agree	30-60 min	Neither agree nor disagree	Neither agree nor disagree	4-5	5 or more	Disagree	1	1	1	Agree
		IP Address		93	790	True		SYN_0179							anonymous	EN	I consent to participate in this study	53	Male	Doctorate	Other		Intermediate	Country B	Sometimes	Never	Always	Almost never	Always	Always	Almost never	Sometimes	Sometimes	Almost never	Often	Often	Sometimes	Disagree	Strongly agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Disagree	Agree	Strongly disagree	Strongly agree	Completely agree	Disagree	Neither agree nor disagree	Strongly agree	Completely agree	Strongly disagree	Strongly agree	Completely agree	Agree	Agree	Strongly agree	Completely agree	Neither agree nor disagree	Agree	Strongly agree	Neither agree nor disagree	Strongly agree	Agree	Completely agree	Strongly disagree	Disagree	Agree	4-6	Strongly agree	prefer not to say	2-3 hrs	Strongly disagree	Strongly agree	3	5 or more	Strongly disagree	0.5	1	0	Agree
		IP Address		97	1764	True		SYN_0180							anonymous	EN	I consent to participate in this study	59	Male	Doctorate	English		Native	Country B	Often	Often	Often	Sometimes	Sometimes	Sometimes	Often	Often	Sometimes	Sometimes	Always	Almost never	Always	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Disagree	Strongly agree	Strongly agree	Disagree	Strongly agree	Strongly disagree	Completely agree	Strongly agree	Agree	Completely agree	Strongly agree	Completely agree	Strongly agree	Completely disagree	Strongly agree	Strongly agree	Completely disagree	Completely agree	Strongly agree	Strongly agree	Disagree	Disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	7-10	Strongly agree	Completely disagree	prefer not to say	Disagree	Completely agree	4-5	5 or more	Agree	3	0.5	3	Agree
		IP Address		98	759	True		SYN_0181							anonymous	EN	I consent to participate in this study	18	Male	Doctorate	English		Advanced	Country B	Almost never	Never	Almost never	Never	Never	Often	Never	Sometimes	Almost never	Often	Almost never	Never	Never	Completely agree	Strongly disagree	Strongly disagree	Disagree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly agree	Strongly agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Strongly disagree	Agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Strongly agree	Agree	Neither agree nor disagree	Strongly disagree	Disagree	Neither agree nor disagree	Completely agree	0	Strongly disagree	Strongly disagree	60-90 min	Strongly disagree	Strongly agree	1	5 or more	Neither agree nor disagree	0.5	0	4	Completely disagree
		IP Address		95	660	True		SYN_0182							anonymous	EN	I consent to participate in this study	60	Female	Doctorate	Other		Intermediate	Country A	Never	Almost never	Almost never	Never	Never	Never	Often	Never	Sometimes	Never	Never	Always	Sometimes	Neither agree nor disagree	Disagree	Completely disagree	Agree	Neither agree nor disagree	Strongly agree	Agree	Agree	Completely agree	Completely agree	Agree	Disagree	Disagree	Strongly disagree	Disagree	Strongly disagree	Disagree	Completely disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Completely agree	Completely disagree	Strongly disagree	Strongly disagree	Strongly disagree	Agree	11 or more	Agree	Completely disagree	30-60 min	Neither agree nor disagree	Completely disagree	10 or more	2	Disagree	7 or more	0.5	1	Disagree
		IP Address		99	1733	True		SYN_0183							anonymous	EN	I consent to participate in this study	23	Female	High school	English		Intermediate	Country A	Sometimes	Sometimes	Sometimes	Always	Often	Often	Sometimes	Almost never	Sometimes	Often	Sometimes	Never	Never	Strongly disagree		Agree	Agree	Agree	Strongly disagree	Disagree	Agree	Strongly agree	Strongly agree		Neither agree nor disagree	Neither agree nor disagree	Agree	Completely agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Strongly agree	Completely agree	Strongly agree	Completely agree	Disagree	Completely agree	Agree	Strongly agree	Completely agree	Completely agree	Neither agree nor disagree	Completely agree	Strongly agree	0	Disagree	Agree	2-3 hrs	Agree	Strongly disagree	10 or more	3-4	Strongly disagree	2	0	0	Completely agree
		IP Address		91	1465	True		SYN_0184							anonymous	EN	I consent to participate in this study	59	Prefer not to say	High school	Other		Native	Country A	Never	Never	Sometimes	Almost never	Never	Never	Sometimes	Sometimes	Almost never	Sometimes	Sometimes	Often	Almost never	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Disagree	Agree	Disagree	Disagree	Disagree	Completely disagree	Neither agree nor disagree	Strongly disagree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Agree	Strongly disagree	Strongly agree	Disagree	Agree	Completely disagree	Disagree	Agree	Agree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Agree	Strongly disagree	4-6	Strongly disagree	Strongly disagree	30-60 min	Agree	Completely agree	2	0	Strongly agree	4-6	0	3	Strongly disagree
		IP Address		99	488	True		SYN_0185							anonymous	EN	I consent to participate in this study	56	Prefer not to say	Master's degree	English		Advanced	Country A	Often	Never	Often	Never	Always	Sometimes	Sometimes	Almost never	Often	Sometimes	Sometimes	Never	Sometimes	Disagree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Disagree	Neither agree nor disagree	Strongly agree	Strongly disagree	Disagree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Strongly agree	Disagree	Agree	Completely disagree	Neither agree nor disagree	Strongly agree	Completely disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Completely disagree	Strongly disagree	Strongly disagree	Strongly agree	Agree	Neither agree nor disagree	3	Neither agree nor disagree	Completely disagree	15-30 min	Strongly disagree	Agree	1	1	Agree	1	0.5	1	Agree
